date       | count | men_loc(mention+location)
 2017-12-30 |     1 |                      VasundharaBJPjaipur
 2017-12-30 |     1 |     VasundharaBJPchandawal nagar , India
 2017-12-30 |     1 |                       VasundharaBJPIndia
 2017-12-30 |     1 |   VasundharaBJPBasti uttar pradesh india
 2017-12-30 |     1 |                    TimesNowMumbai, India
 2017-12-30 |     1 |                    TimesNowKerala, India
 2017-12-30 |     1 |         TimesNowJammu, Jammu And Kashmir
 2017-12-30 |     1 |                 TheniasharmaHansi, India
 2017-12-30 |     1 |      SwetaSinghATNew Delhi, jamia millia
 2017-12-30 |     1 |                            Swamy39ಮೈಸೂರು
 2017-12-30 |     1 |                      Swamy39देहरादून, भारत
 2017-12-30 |     1 |      Swamy39hyderabad, telangana, india.
 2017-12-30 |     1 |                         Swamy39bangalore
 2017-12-30 |     1 |           Swamy39ayodhya, kashi, mathura
 2017-12-30 |     1 |               Swamy39West Ridge, Chicago
 2017-12-30 |     1 |           Swamy39Sydney, New South Wales
 2017-12-30 |     1 |                Swamy39Sanchore Rajasthan
 2017-12-30 |     1 |                        Swamy39Queens, NY
 2017-12-30 |     1 |                    Swamy39Puttur,  India
 2017-12-30 |     1 |                      Swamy39Patna, India
 2017-12-30 |     1 |                     Swamy39Paris, France
 2017-12-30 |     1 |                 Swamy39Newport Beach, CA
 2017-12-30 |     1 |         Swamy39New Jersey, NYC, Tel Aviv
 2017-12-30 |     1 |                        Swamy39New Delhi 
 2017-12-30 |     1 |                         Swamy39NEW DELHI
 2017-12-30 |     1 |                     Swamy39Mumbai, India
 2017-12-30 |     1 |                     Swamy39Michigan, USA
 2017-12-30 |     1 |                          Swamy39Ludhiana
 2017-12-30 |     1 |                   Swamy39Lalitpur, India
 2017-12-30 |     1 |                        Swamy39Islamabad 
 2017-12-30 |     1 |                        Swamy39India,Usa 
 2017-12-30 |     1 |                  Swamy39Gorakhpur, India
 2017-12-30 |     1 |                      Swamy39Florida, USA
 2017-12-30 |     1 |               Swamy39Chhattisgarh, India
 2017-12-30 |     1 |                        Swamy39Chandigarh
 2017-12-30 |     1 |             Swamy39Borivali West, Mumbai
 2017-12-30 |     1 |                         Swamy39Boise, ID
 2017-12-30 |     1 |            Swamy39Bengaluru South, India
 2017-12-30 |     1 |                         Swamy39Bangalore
 2017-12-30 |     1 |                              Swamy39Agra
 2017-12-30 |     1 |       SushmaSwarajsmartcity, Bhubaneswar
 2017-12-30 |     1 |         SushmaSwarajUttar Pradesh, India
 2017-12-30 |     1 |                  SushmaSwarajPune, India
 2017-12-30 |     1 |   SushmaSwarajPeople's Republic of China
 2017-12-30 |     1 |                       SushmaSwarajMumbai
 2017-12-30 |     1 |               SushmaSwarajLucknow, India
 2017-12-30 |     1 |               SushmaSwarajJabalpur. M.p.
 2017-12-30 |     1 |                   SushmaSwarajEdinburgh 
 2017-12-30 |     1 |                     SushmaSwarajBrisbane
 2017-12-30 |     1 |    SushmaSwarajBasti uttar pradesh india
